,alpha,lambda,kl_divergence,recommendations,time
156,0.13,0.8,0.20345878910017304,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel14, hotel1099, hotel23, hotel9505]",107.93521046638489
157,0.15,0.8,0.20345878910017304,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel14, hotel1099, hotel23, hotel9505]",108.8987648487091
158,0.17,0.8,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel9505, hotel2, hotel26177, hotel14, hotel23, hotel1099, hotel49]",99.70069098472595
159,0.19,0.8,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel9505, hotel2, hotel26177, hotel14, hotel23, hotel1099, hotel49]",95.85444903373718
160,0.21,0.8,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel14, hotel23, hotel1099, hotel49]",96.68484711647034
161,0.23,0.8,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel14, hotel23, hotel1099, hotel49]",105.74818706512451
162,0.25,0.8,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel14, hotel23, hotel49, hotel1099]",105.42608189582825
163,0.27,0.8,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel14, hotel23, hotel49, hotel1099]",104.12260746955872
164,0.29,0.8,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel14, hotel23, hotel49, hotel1099]",103.71362042427063
165,0.31,0.8,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel14, hotel23, hotel49, hotel11]",103.39252161979675
166,0.33,0.8,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel14, hotel23, hotel49, hotel11]",104.00424003601074
167,0.35,0.8,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel14, hotel23, hotel49, hotel11]",96.19644474983215
168,0.37,0.8,0.8309366263415809,"[hotel26177, hotel2, hotel14697, hotel91516, hotel36, hotel14, hotel23, hotel1099, hotel49, hotel9505]",88.47042202949524
169,0.39,0.8,0.8309366263415809,"[hotel26177, hotel2, hotel14697, hotel91516, hotel36, hotel14, hotel23, hotel1099, hotel49, hotel9505]",88.7131233215332
170,0.41,0.8,0.9331984555030768,"[hotel26177, hotel2, hotel14697, hotel91516, hotel36, hotel14, hotel23, hotel49, hotel1099, hotel11]",96.13337421417236
171,0.43,0.8,1.015872568727314,"[hotel26177, hotel2, hotel14697, hotel91516, hotel14, hotel23, hotel36, hotel49, hotel11, hotel9505]",100.179922580719
172,0.45,0.8,1.506957303215703,"[hotel26177, hotel2, hotel14697, hotel36, hotel9505, hotel14, hotel23, hotel49, hotel11, hotel51]",100.0614275932312
173,0.47,0.8,1.506957303215703,"[hotel26177, hotel2, hotel14697, hotel14, hotel9505, hotel23, hotel49, hotel36, hotel11, hotel51]",96.31242036819458
174,0.49,0.8,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel14, hotel9505, hotel23, hotel49, hotel11, hotel51, hotel35]",96.44210696220398
175,0.01,0.85,0.1174812718323871,"[hotel122734, hotel177679, hotel3438, hotel119583, hotel2, hotel26177, hotel14697, hotel14, hotel9505, hotel1099]",108.8519275188446
176,0.03,0.85,0.1174812718323871,"[hotel122734, hotel177679, hotel3438, hotel119583, hotel2, hotel26177, hotel14697, hotel14, hotel9505, hotel1099]",106.59636449813843
177,0.05,0.85,0.1174812718323871,"[hotel122734, hotel177679, hotel3438, hotel119583, hotel2, hotel26177, hotel14697, hotel14, hotel9505, hotel1099]",105.23466110229492
178,0.07,0.85,0.1803868106013665,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel1099, hotel14, hotel9505, hotel49]",93.2197253704071
179,0.09,0.85,0.1803868106013665,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel1099, hotel14, hotel9505, hotel49]",94.66696405410767
180,0.11,0.85,0.1803868106013665,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel1099, hotel14, hotel9505, hotel49]",101.0175507068634
181,0.13,0.85,0.1803868106013665,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel1099, hotel14, hotel9505, hotel49]",104.50351643562317
182,0.15,0.85,0.1803868106013665,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel14, hotel1099, hotel9505, hotel49]",97.43154454231262
183,0.17,0.85,0.1803868106013665,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel14, hotel1099, hotel9505, hotel49]",102.74432134628296
184,0.19,0.85,0.1803868106013665,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel14, hotel1099, hotel9505, hotel49]",106.53408885002136
